Sensor Position (Radians)	Light Intensity (Volts)
2.29511	-0.01149
2.29947	-0.01213
2.30820	-0.00762
2.31692	-0.01004
2.32129	-0.01100
2.33001	-0.00859
2.33438	-0.00682
2.33438	-0.00714
2.33874	-0.00504
2.34310	-0.00585
2.34310	-0.00698
2.34747	-0.00456
2.35183	-0.00263
2.35619	-0.00295
2.36492	-0.00134
2.36928	0.00236
2.37365	0.00462
2.37801	0.00510
2.38674	0.00752
2.39110	0.01267
2.39546	0.01171
2.39983	0.01573
2.40855	0.01590
2.41292	0.01960
2.41292	0.02105
2.41728	0.02186
2.42164	0.02540
2.42601	0.02363
2.43037	0.02782
2.43473	0.03007
2.43910	0.03394
2.44346	0.03716
2.44782	0.04167
2.45219	0.04312
2.45655	0.04682
2.46091	0.04715
2.46964	0.05520
2.47400	0.05681
2.47837	0.06035
2.48273	0.06728
2.48709	0.06905
2.49146	0.07179
2.50018	0.07550
2.50455	0.07968
2.50455	0.08162
2.51327	0.08774
2.51764	0.09160
2.52200	0.09724
2.52636	0.09789
2.53073	0.10159
2.53509	0.10755
2.53945	0.10932
2.54382	0.11544
2.54818	0.12237
2.55254	0.12495
2.55691	0.13123
2.56127	0.13397
2.56563	0.13977
2.57436	0.14814
2.57872	0.14798
2.58309	0.15636
2.58745	0.15958
2.59181	0.16667
2.59618	0.17037
2.59618	0.17359
2.59618	0.17279
2.60054	0.17521
2.60054	0.17617
2.60490	0.17359
2.60490	0.18197
2.60490	0.18068
2.60927	0.18777
2.61363	0.18793
2.61799	0.19180
2.61799	0.19695
2.62236	0.19905
2.62672	0.20533
2.63108	0.20903
2.63545	0.21354
2.63545	0.21548
2.63545	0.21805
2.63981	0.22160
2.63981	0.22063
2.64417	0.22514
2.64417	0.22579
2.64417	0.22579
2.64417	0.22530
2.64417	0.22868
2.64417	0.22530
2.64417	0.22434
2.64417	0.22417
2.64417	0.22740
2.64417	0.22546
2.64417	0.22562
2.64417	0.22434
2.64417	0.22627
2.64417	0.22675
2.64417	0.22595
2.64417	0.22450
2.64417	0.22611
2.64417	0.22321
2.64417	0.22595
2.64417	0.22546
2.64417	0.22659
2.64417	0.22498
2.64417	0.22546
2.64417	0.22659
2.64417	0.22272
2.64417	0.22627
2.64417	0.22401
2.64417	0.22369
2.64417	0.22579
2.64417	0.22562
2.64417	0.22691
2.64417	0.22337
2.64417	0.22723
2.64417	0.22450
2.64417	0.22530
2.64417	0.22756
2.64854	0.22917
2.64854	0.23255
2.65290	0.23255
2.65290	0.23787
2.65726	0.23932
2.66163	0.24495
2.66163	0.24367
2.66163	0.24753
2.66599	0.24882
2.66599	0.25510
2.67035	0.25462
2.67472	0.26106
2.67472	0.26267
2.67908	0.26638
2.67908	0.26879
2.68344	0.27347
2.68344	0.27153
2.68344	0.27443
2.68781	0.27781
2.69217	0.28007
2.69217	0.28458
2.69653	0.28925
2.70090	0.29118
